year,id,espacios(rótulo_refined),Dirección,Epígrafe de actividad,Fecha de la inspección,Tipo de actuación,Perfil de la actividad,Estado higiénico sanitario,Frecuencia de inspección,macroetiquetas,year_2018,id_2,Fecha de la inspección_2,Tipo de actuación_2,Perfil de la actividad_2,Estado higiénico sanitario_2,Frecuencia de inspección_2,mejora o empeora,latitude,longitude,final_district,owner (education only),Denominación genérica,fuente alternativa
2019,784,"BAR FOGON DE PEDRO, DENTRO HOTEL",CARRETERA VICALVARO A LA ESTACION DE O'DONNELL NUM 20 ,561004 - BAR RESTAURANTE,08/05/2019,Programada,Prioridad media,Favorable,Media,bares/restaurantes,2018,1154,04/04/2018,Programada,Prioridad alta,Favorable,Alta,Sin cambios,40.40438,-3.59162,Vicálvaro,,,
2018,2660,RESTAURANTE FUENTEARCOS,CARRETERA VICALVARO A RIVAS DEL JARAMA NUM 13 ,561001 - RESTAURANTE,25/05/2018,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.3928093,-3.5762316,Vicálvaro,,,
2019,3043,LIDL,CARRETERA VICALVARO A VALLECAS NUM 10 ,"471101 - COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",16/04/2019,Programada,Prioridad baja,Desfavorable,Alta,comercio,,,,,,,,,40.382756,-3.6269256,Puente de Vallecas,,,
2018,3796,KEBABISH DÖNER KEBAB,CARRETERA VILLAVERDE A VALLECAS NUM 29 ,561001 - RESTAURANTE,03/04/2018,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.3640539,-3.6750606,Villaverde,,,
2018,816,RESTAURANTE VICTORIA,CARRETERA VILLAVERDE A VALLECAS NUM 29 ,561001 - RESTAURANTE,06/06/2018,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.3640539,-3.6750606,Villaverde,,,
2018,3968,TELEPIZZA,CARRETERA VILLAVERDE A VALLECAS NUM 29 ,561001 - RESTAURANTE,27/06/2018,Programada,Prioridad alta,Favorable,Alta,bares/restaurantes,,,,,,,,,40.3640539,-3.6750606,Villaverde,,,
2019,555,RESIDENCIA Y CENTRO DE DIA PARA PERSONAS MAYORES VILLAVERDE ALZHEIMER,CARRETERA VILLAVERDE A VALLECAS NUM 38 ,562904 - SERVICIOS DE COMEDOR EN CENTROS DE ACTIVIDADES DE SERVICIOS SOCIALES,09/05/2019,Programada,Prioridad alta,Favorable,Alta,comedor social,2018,781,27/09/2018,Programada,Prioridad alta,Favorable,Alta,Sin cambios,40.3641189,-3.6750514,Villaverde,,,
2018,5360,CAFETERIA PRINCIPAL - ZOO AQUARIM,CARRETERA ZARZON NUM 6 ,561006 - CAFETERIA,13/09/2018,No programada,Prioridad media,Favorable condicionado,Media,bares/restaurantes,,,,,,,,,40.4074312,-3.7645045,Moncloa-Aravaca,,,
2018,5361,QUIOSCO HELADOS DELFINARIO,CARRETERA ZARZON NUM 6 ,47800101 - SITUADOS: HELADOS Y/O BEBIDAS REFRESCANTES,13/09/2018,No programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4074312,-3.7645045,Moncloa-Aravaca,,,
2018,5147,RESTAURANTE BAGARAY,CARRETERA ZARZON NUM 6 ,561001 - RESTAURANTE,13/09/2018,No programada,Prioridad media,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.4074312,-3.7645045,Moncloa-Aravaca,,,
2018,6121,SUPERMERCADO PROXIM,COSTANILLA ANGELES NUM 2 ,"471101 - COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",30/08/2018,Programada,Prioridad baja,Desfavorable,Alta,comercio,,,,,,,,,40.4179401,-3.7085671,Centro,,,
2018,6122,SUPERMERCADO PROXIM,COSTANILLA ANGELES NUM 2 ,472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,30/08/2018,Programada,Prioridad baja,Desfavorable,Alta,comercio,,,,,,,,,40.4179401,-3.7085671,Centro,,,
2018,6112,DIA MARKET,COSTANILLA ANGELES NUM 6 ,"471101 - COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",22/11/2018,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4185352,-3.7082771,Centro,,,
2018,6113,DIA MARKET,COSTANILLA ANGELES NUM 6 ,472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,28/09/2018,Programada,Prioridad baja,Desfavorable,Alta,comercio,,,,,,,,,40.4185352,-3.7082771,Centro,,,
2018,6114,DIA MARKET,COSTANILLA ANGELES NUM 6 ,472402 - COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA SIN OBRADOR,22/11/2018,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4185352,-3.7082771,Centro,,,
2018,6043,+KCOPAS,COSTANILLA SAN ANDRES NUM 20 ,561004 - BAR RESTAURANTE,26/10/2018,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.4124135,-3.7116955,Centro,,,
2019,2672,BRASA Y LEÑA,COSTANILLA SANTIAGO NUM 1 ,561004 - BAR RESTAURANTE,13/06/2019,No programada,Prioridad media,Desfavorable,Muy Alta,bares/restaurantes,2018,4611,13/11/2018,No programada,Prioridad media,Favorable,Media,Empeora,40.416246,-3.708906,Centro,,,
2019,4543,CHOCOLATE BELGA,COSTANILLA SANTIAGO NUM 2 ,"472404 - COMERCIO AL POR MENOR DE  PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-SIN BARRA DEGUSTACION",23/04/2019,Programada,Prioridad media,Favorable,Media,comercio,,,,,,,,,40.4164376,-3.709046,Centro,,,
2019,1281,HOTEL PRINCIPE PIO,CUESTA SAN VICENTE NUM 14 ,551001 - HOTELES Y MOTELES CON RESTAURANTE,03/05/2019,No programada,Prioridad alta,Favorable,Alta,bares/restaurantes,2018,2092,28/11/2018,No programada,Prioridad alta,Favorable condicionado,Alta,Mejora,40.4212199,-3.7145548,Moncloa-Aravaca,,,
